weather_code_id, wmo_code, description
1,00,"Cloud development not observed or not observable"
2,01,"Cloud generally dissolving or becoming less developed"
3,02,"State of sky on the whole unchanged"
4,03,"Clouds generally forming or developing"
5,04,"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashe"
6,05,"Haze"
7,06,"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation"
8,07,"Dust or sand raised by wind at or near the station at the time of observation, but not well-developed dust whirl(s) or sand whirl(s), and no duststorm or sandstorm seen; or, in the case of ships, blowing spray at the station"
9,08,"Well-developed dust or sand whirl(s) seen at or near the station during the preceding hour or at the time of observation, but no dust storm or sandstorm"
10,09,"Duststorm or sandstorm within sight at the time of observation, or at the station during the preceding hour"
11,10,"Mist"
12,11,"Patches of shallow fog or ice fog at the station, whether on land or sea not deeper than about 2 metres on land or 10 metres at sea"
13,12,"More or less continuous shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2m/land or 10m/sea"
14,13,"Lightning visible, or thunder heard"
15,14,"Precipitation within sight, not reaching the ground or the surface of the sea"
16,15,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. > 5 km from the station"
17,16,"Precipitation within sight, reaching the ground or the surface of the sea, near to, but not at the station"
18,17,"Thunderstorm, but no precipitation at the time of observation"
19,18,"Squalls at or within sight of the station during the preceding hour or at the time of observation"
20,19,"Funnel clouds at or within sight of the station during the preceding hour or at the time of observation"
21,20,"Drizzle (not freezing) or snow grains, not falling as showers, during the preceding hour but not at the time of observation"
22,21,"Rain (not freezing), not falling as showers, during the preceding hour but not at the time of observation"
23,22,"Snow, not falling as showers, during the preceding hour but not at the time of observation"
24,23,"Rain and snow or ice pellets, not falling as showers; during the preceding hour but not at the time of observation"
25,24,"Freezing drizzle or freezing rain; during the preceding hour but not at the time of observation"
26,25,"Shower(s) of rain during the preceding hour but not at the time of observatio"
27,26,"Shower(s) of snow, or of rain and snow during the preceding hour but not at the time of observation"
28,27,"Shower(s) of hail, or of rain and hail during the preceding hour but not at the time of observatio"
29,28,"Fog or ice fog during the preceding hour but not at the time of observation"
30,29,"Thunderstorm (with or without precipitation) during the preceding hour but not at the time of observation"
31,30,"Slight or moderate duststorm or sandstorm - has decreased during the preceding hour"
32,31,"Slight or moderate duststorm or sandstorm - no appreciable change during the preceding hour"
33,32,"Slight or moderate duststorm or sandstorm - has begun or has increased during the preceding hour"
34,33,"Severe duststorm or sandstorm - has decreased during the preceding hour"
35,34,"Severe duststorm or sandstorm - no appreciable change during the preceding hour"
36,35,"Severe duststorm or sandstorm - has begun or has increased during the preceding hour"
37,36,"Slight/moderate drifting snow - generally low (below eye level)"
38,37,"Heavy drifting snow - generally low (below eye level)"
39,38,"Slight/moderate blowing snow - generally high (above eye level)"
40,39,"Heavy blowing snow - generally high (above eye level)"
41,40,"Fog or ice fog at a a distance at the time of observation, but not at station during the preceding hour, the fog or ice fog extending to a level above that of the observer"
42,41,"Fog or ice fog in patches"
43,42,"Fog/ice fog, sky visible, has become thinner during the preceding hour"
44,43,"Fog/ice fog, sky invisible, has become thinner during the preceding hour"
45,44,"Fog or ice fog, sky visible, no appreciable change during the past hour"
46,45,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour"
47,46,"Fog or ice fog, sky visible, has begun or has become thicker during preceding hour"
48,47,"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour"
49,48,"Fog, depositing rime, sky visible"
50,49,"Fog, depositing rime, sky invisible"
51,50,"Drizzle, not freezing, intermittent, slight at time of ob."
52,51,"Drizzle, not freezing, continuous, slight at time of ob."
53,52,"Drizzle, not freezing, intermittent, moderate at time of ob."
54,53,"Drizzle, not freezing, continuous, moderate at time of ob."
55,54,"Drizzle, not freezing, intermittent, heavy at time of ob."
56,55,"Drizzle, not freezing, continuous, heavy at time of ob."
57,56,"Drizzle, freezing, slight"
58,57,"Drizzle, freezing, moderate or heavy (dense)"
59,58,"Rain and drizzle, slight"
60,59,"Rain and drizzle, moderate or heavy"
61,60,"Rain, not freezing, intermittent, slight at time of ob."
62,61,"Rain, not freezing, continuous, slight at time of ob."
63,62,"Rain, not freezing, intermittent, moderate at time of ob."
64,63,"Rain, not freezing, continuous, moderate at time of ob."
65,64,"Rain, not freezing, intermittent, heavy at time of ob."
66,65,"Rain, not freezing, continuous, heavy at time of ob."
67,66,"Rain, freezing, slight"
68,67,"Rain, freezing, moderate or heavy"
69,68,"Rain or drizzle and snow, slight"
70,69,"Rain or drizzle and snow, moderate or heavy"
71,70,"Intermittent fall of snowflakes, slight at time of ob."
72,71,"Continuous fall of snowflakes, slight at time of ob."
73,72,"Intermittent fall of snowflakes, moderate at time of ob."
74,73,"Continuous fall of snowflakes, moderate at time of ob."
75,74,"Intermittent fall of snowflakes, heavy at time of ob."
76,75,"Continuous fall of snowflakes, heavy at time of ob."
77,76,"Diamond dust (with or without fog)"
78,77,"Snow grains (with or without fog)"
79,78,"Isolated star-like snow crystals (with or without fog)"
80,79,"Ice pellets"
81,80,"Rain shower(s), slight"
82,81,"Rain shower(s), moderate or heavy"
83,82,"Rain shower(s), violent"
84,83,"Shower(s) of rain and snow, slight"
85,84,"Shower(s) of rain and snow, moderate or heavy"
86,85,"Snow shower(s), slight"
87,86,"Snow shower(s), moderate or heavy"
88,87,"Shower(s) of snow pellets or small hail, with or without rain or rain and snow mixed - slight"
89,88,"Shower(s) of snow pellets or small hail, with or without rain or rain and snow mixed - moderate or heavy"
90,89,"Shower(s) of hail, with or without rain or rain and snow mixed, not associated with thunder - slight"
91,90,"Shower(s) of hail, with or without rain or rain and snow mixed, not associated with thunder - moderate or heavy"
92,91,"Slight rain at time of observation - Thunderstorm during the preceding hour but not at time of observation"
93,92,"Moderate or heavy rain at time of observation - Thunderstorm during the preceding hour but not at time of observation"
94,93,"Slight snow, or rain and snow mixed or hail at time of observation - Thunderstorm during the preceding hour but not at time of observation"
95,94,"Moderate or heavy snow, or rain and snow mixed or hail at time of observation - Thunderstorm during the preceding hour but not at time of observation"
96,95,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation"
97,96,"Thunderstorm, slight or moderate, with hail at time of ob."
98,97,"Thunderstorm, heavy, without hail, but with rain and/or snow at time of observation"
99,98,"Thunderstorm combined with dust/sandstorm at time of observation"
100,99,"Thunderstorm, heavy with hail at time of observatio"